,author:first-name,author:last-name,author:middle-name,author:nickname,file,publish-info:book-name,publish-info:year,title-info:book-title,translator:first-name,translator:last-name,translator:middle-name
0,Мансур,Абдулин,Гизатулович,rusec,000110.fb2,,,Пядь земли,,,
1,Black,Jack,,,000365.fb2,Анатолий Афанасьев. Гражданин тьмы,2001,Гражданин тьмы,,,
2,Black,Jack,,,000367.fb2,Анатолий Афанасьев. Монстр сдох,2001,Монстр сдох,,,
3,Black,Jack,,,000368.fb2,Анатолий Афанасьев. Московский душегуб,2001,Московский душегуб,,,
4,Black,Jack,,,000369.fb2,Анатолий Афанасьев. Ужас в городе,2001,Ужас в городе,,,
5,Black,Jack,,,000467.fb2,,,Страж фараона,,,
6,Фарит,Ахмеджанов,,rusec,000488.fb2,,,Курьер DV - the Best,,,
7,Джудит,Айвори,,OCR Альдебаран,000578.fb2,Чудовище,2000,Чудовище,В.,Комарова,В.
8,Джудит,Айвори,,OCR Альдебаран,000579.fb2,Опрометчивый поступок,2002,Опрометчивый поступок,Е.,Никитенко,С.
9,Джудит,Айвори,,Roland,000580.fb2,Спящая красавица,2000,Спящая красавица,И.,Архипова,Е.
10,Т,Айзатулин,А,rusec,000582.fb2,,,Теория России (Геоподоснова и моделирование),,,
11,Faiber,,,,000583.fb2,Хижина в раю,2001,Хижина в раю,А.,Бугрова,
12,Мэхелия,Айзекс,,Roland,000584.fb2,,,Невольница любви,,,
13,В,Акимов,М,rusec,000606.fb2,,,Рядом с читателем (О Вильяме Козлове и его книгах),,,
14,Валентин,Аккуратов,,rusec,000614.fb2,,,Над 'третьим рейхом',,,
15,Валентин,Аккуратов,,rusec,000617.fb2,,,Они летали рядом с нами,,,
16,Андрей,Акопян,,rusec,000628.fb2,,,Борьба на уничтожение уходит в прошлое,,,
17,Black,Jack,,,000630.fb2,Питер Акройд. Дом доктора Ди,2000,Дом доктора Ди,Владимир,Бабков,
18,Black,Jack,,,000632.fb2,Питер Акройд. Завещание Оскара Уайльда,2000,Завещание Оскара Уайльда,Леонид,Мотылев,
19,Сергей,Аксаков,Тимофеевич,rusec,000640.fb2,,,Охотная страсть,,,
20,Л,Аксельрод,И,rusec,000642.fb2,,,Курс лекций по историческому материализму,,,
